reviewer_name,review_content,full_review_link,rating,review_time_information,reply_from_owner,reply_text
Michelle Isenberg,Wir waren zu zweit für eine Nacht im Hotel und waren rundum zufrieden Das Zimmer ist wirklich extrem groß sehr schön eingerichtet und sauber. In vielen Bewertungen haben wir negatives über das Frühstück gelesen - das &,https://goo.gl/maps/k86qC9jGvmmJ52on8,5,vor 5 Monaten,True,Ohhhh Michelle du machst uns glücklich mit deinem Feedback. Und du hast das richtig gesehen wir stellen unser Team - insbesondere an der Rezeption- grade neu zusammen. Alle hoch motiviert und offensichtlich konzentriert ;) danke für dein Verständnis und wir freuen uns dich bald wieder begrüßen zu dürfen. Herzlichen Gruß aus dem Aspria Sandra Schmalzried General Manager
theresa blechschmidt,Ich bin begeistert Sehr nette und hilfsbereite Mitarbeiter*innen. Schönes großes Zimmer. Das einzige Manko ist finde ich dass das Bad nicht ein extra Raum ist. Aber ansonsten ein wunderbares Konzept - Hotel und Fitnessstudio in einem. Schöner großer optimal temperierter Pool tolles Kursangebot. Ich komme wieder,https://goo.gl/maps/usvNraEjJHenjEJz6,5,vor einer Woche,True,Vielen Dank dass Sie unser Gast waren und - wie es sich anhört - auch bald wieder sind. Wir freuen uns auf Sie und wünschen einen perfekten Start in ein neues Jahr. Herzlichen Gruß vom Team Aspria Berlin Sandra Schmalzried General Manager
Hayreddin Ali,Hatte heute eine sehr unbefriedigende Club-Tour. Als wir beim Pool waren wurde ich gefragt ob er mir gefällt woraufhin ich antwortete dass die Wände etwas trist wirken. Daraufhin wurde ich gefragt ob ich die Club-Tour lieber abbrechen &,https://goo.gl/maps/Ccpw7XpZmk9PYEX18,1,vor einer Woche,True,Sehr geehrter Herr Ali vielen Dank für Ihre Rückmeldung zu Ihrer Kennenlerntour durch unseren Club. Schade dass wir Sie nicht mit dem Ambiente überzeugen konnten. Insbesondere unser 25m Pool erfreut sich bei unseren Mitgliedern größter Beliebtheit. Dieser bietet min. 14h am Tag die Möglichkeit den Schwimm- und Trainingsroutinen nachzugehen und so entsteht durch unser großes Angebot an Aqua Fit Kursen Kinderschwimmkursen Familienschwimmzeiten und natürlich freiem Bahnenschwimmen tagsüber ein reger Betrieb am Beckenrand. Gegen Abend lädt der Pool aber durchaus auch zum Verweilen ein wenn Unterwasser- und Deckenbeleuchtung den Raum in atmosphärisches Licht hüllen. Ihre weiteren genannten Punkte habe ich bereits mit den zuständigen Teams besprochen die immer vor Ort sind um Ihren Aufgaben nachzugehen und für direkte Mitgliederwünsche ansprechbar sind. Wir hoffen Sie haben mittlerweile etwas für sich passendes gefunden mit sportlichen Grüßen Sandra Schmalzried Aspria Berlin
Karin Bugge,Ein sehr netter Empfang und die Führung durch das Fitness Studio war äußerst angenehm. Meine Freundin und ich haben uns sofort entschlossen einen Vertrag &,https://goo.gl/maps/R7EMzh57dPeBsF7g7,5,vor 2 Monaten,True,Wir freuen uns dass unser Service einen bleibenden guten Eindruck hinterlassen hat. Herzlich willkommen bei uns im Aspria Sandra Schmalzried General Manager
Ka Ba,Ich war das erste Mal dort. Sehr schöne moderne Anlage nette Mitarbeiter top Fitnessbereich und die Massage war auch sehr gut. Alles in allem ein gutes Konzept und ein Ort den man aufsuchen kann wenn man mal eine Auszeit braucht. Das einzige Manko: es gibt nirgendwo die Möglichkeit mal an seiner E-Zigaretten zu ziehen:-),https://goo.gl/maps/p4CTPQKLhALnqXjq5,4,vor 3 Monaten,True,Ohhhhh wir machen uns schlau ob es hierfür ne Lösung gibt. Vielen Dank für das schöne ausführliche Feedback Sandra Schmalzried General Manager Aspria Berlin
Nici Theuerkauf,Es ist so schade alles für was dieser Club mal stand ist verloren. Es gab wirklich gute Lehrer und ein sagenhaftes Kursangebot jetzt ist es eher durchschnittlich. Das Publikum ist sehr proletenhaft&. gaffende ekelige Typen die an sich &,https://goo.gl/maps/qqtcDv3vkUZQxdHa8,1,vor 3 Monaten,True,Sehr geehrte Frau Theuerkauf wir nehmen Hinweise unserer Mitglieder und Gäste sehr ernst sobald es dem Mitgliederservice oder dem Management zugetragen wird bzw. zur Kenntnis gelangt. Saunameister sind vor Ort um direkte Beschwerden entgegen zu nehmen. Bisher wurde uns jedoch zu Ihren Beobachtungen noch keine Rückmeldungen gegeben. Um agieren zu können benötigen wir dringend mehr Informationen. Bitte wenden Sie sich doch an unseren Mitgliederservice hier im Club. Wir danken für Ihre Rückmeldung und bedauern es sehr dass der Club nicht mehr Ihren Erwartungen und Vorstellungen entspricht und Ihr Saunaaufenthalt gestört worden ist. Herzlichen Dank Sandra Schmalzried General Manager
Marco Kretzschmann,Sehr saubere große und vor allem funktionale Zimmer. Der Fitness- und Wellnessbereich ist sehr gut auch wenn es teils sehr voll war. Wir waren auf jeden Fall begeistert und kommen bestimmt wieder.,https://goo.gl/maps/9kG6yN9oZs2wuA7t6,5,vor einer Woche,True,Sehr geehrter Herr Kretzschmann es freut uns sehr dass wir Sie mit unserem Konzept Club und Hotel in Kombination überzeugen konnten und Sie mitunter einer unserer ersten Gäste im neuen Jahr waren. Wir wissen es sehr zu schätzen dass Sie sich die Zeit genommen haben uns Ihre Eindrücke zu schildern und freuen uns Sie hoffentlich bald wieder bei uns begrüßen zu dürfen. Mit einem herzlichen Gruß aus dem Aspria Berlin Sandra Schmalzried General Manager
Sabine hamburg,Schwimmbad war in Renovierung ich hatte aber auch deswegen das Hotel gebucht. Späterer Checkout wurde nicht weitergegeben stattdessen erhielt ich einen unfreundlichen Anruf. Der Ausblick aus dem Zimmer: Verdrecktes Dach mit &,https://goo.gl/maps/CYauAPnYbkokJG47A,2,vor 5 Monaten,False,
A S,Die Mitarbeiter an der Rezeption sind nicht sehr freundlich. Das eine Bett im Zimmer war nicht frisch als wir eingecheckt haben. Die Handseife war leer. Die Kosmetiktücher wurden obwohl sie leer waren nicht &,https://goo.gl/maps/zpWLHyFFELGuDeDk8,2,vor 4 Monaten,False,
Tarik Yakar,Also ich zahle 145¬ dann die kosten für die Tiefgarage und die extra Handtücher. Da ist man schon mal mit Getränkeverzehr bei 200¬ im Monat. Sorry aber so Toll ist der Laden nicht. Ziemlich alte Geräte Shampoos bei den &,https://goo.gl/maps/Qpmx4GqVhXvAtDGB6,2,vor 3 Wochen,True,Sehr geehrter Herr Yakar Wir danken für Ihr Feedback. Gerne nehme ich Ihre Anregungen bzgl Verbesserungspotential entgegen. Während der Schließzeit (über 7 Monate) herrschte eine hohe Ungewissheit wann ob überhaupt und in welchem Umfang wieder aufgemacht werden kann. Doch haben wir dieses Jahr bereits in einen neuen Functional Außenbereich neues Equipment für unsere beliebten Kurse in Loft1 sowie Kleinequipment für Trainingsräume investiert usw. Auch sind unsere Restaurant erneuert und eine Worklounge geschaffen worden um unseren Mitgliedern auch hier einen zusätzlichen Mehrwert zu bieten. Wir würden uns freuen wenn Sie Aspria auch weiterhin als Ihren Wohlfühlclub nutzen. Mit besten Grüßen Sandra Schmalzried General Manager Aspria Berlin
